date,Clean Spark Spread,Clean Dark Spread
2019-01-01,-59.93,-54.42
2019-01-02,-29.74,-24.5
2019-01-03,2.47,7.41
2019-01-04,-6.72,-0.4
2019-01-05,-13.48,-8.28
2019-01-06,-0.14,4.08
2019-01-07,-1.91,1.66
2019-01-08,-20.52,-15.74
2019-01-09,-14.18,-10.01
2019-01-10,13.44,17.56
2019-01-11,-5.43,-0.28
2019-01-12,-14.15,-9.72
2019-01-13,-39.45,-35.43
2019-01-14,-21.54,-17.61
2019-01-15,-9.36,-4.91
2019-01-16,-9.63,-5.22
2019-01-17,-14.01,-7.59
2019-01-18,5.66,11.23
2019-01-19,-0.11,4.8
2019-01-20,-1.03,3.29
2019-01-21,15.56,19.38
2019-01-22,8.49,12.46
2019-01-23,21.21,24.58
2019-01-24,32.55,35.11
2019-01-25,13.89,16.05
2019-01-26,-3.33,-1.57
2019-01-27,-16.79,-15.22
2019-01-28,-1.65,-0.03
2019-01-29,8.22,9.76
2019-01-30,1.81,2.74
2019-01-31,8.57,9.43
2019-02-01,6.07,5.07
2019-02-02,0.73,-0.52
2019-02-03,-2.79,-4.0
2019-02-04,-5.51,-6.42
2019-02-05,4.6,3.24
2019-02-06,2.61,0.65
2019-02-07,-4.21,-6.17
2019-02-08,-5.76,-9.16
2019-02-09,-40.45,-43.97
2019-02-10,-19.12,-22.77
2019-02-11,-15.06,-18.94
2019-02-12,0.25,-4.06
2019-02-13,-1.55,-5.58
2019-02-14,2.67,-1.8
2019-02-15,0.5,-3.28
2019-02-16,-7.43,-11.63
2019-02-17,-7.13,-11.81
2019-02-18,0.68,-4.49
2019-02-19,-4.94,-9.5
2019-02-20,-0.48,-5.24
2019-02-21,-2.68,-7.62
2019-02-22,1.46,-3.66
2019-02-23,-5.43,-10.77
2019-02-24,-5.4,-10.93
2019-02-25,-0.81,-6.42
2019-02-26,-0.45,-6.17
2019-02-27,-1.97,-6.61
2019-02-28,-5.93,-10.57
2019-03-01,-0.59,-5.0
2019-03-02,-5.24,-9.73
2019-03-03,-36.31,-40.76
2019-03-04,-33.27,-37.62
2019-03-05,-14.06,-19.68
2019-03-06,-10.13,-16.26
2019-03-07,-15.65,-22.28
2019-03-08,-18.4,-24.83
2019-03-09,-36.71,-43.06
2019-03-10,-27.09,-33.54
2019-03-11,-5.83,-12.55
2019-03-12,-7.47,-14.54
2019-03-13,-24.97,-32.99
2019-03-14,-9.86,-18.56
2019-03-15,-16.46,-25.85
2019-03-16,-24.26,-33.89
2019-03-17,-40.87,-50.69
2019-03-18,-9.19,-19.13
2019-03-19,4.31,-5.7
2019-03-20,-0.38,-9.4
2019-03-21,-1.18,-11.2
2019-03-22,0.35,-10.61
2019-03-23,-4.35,-15.56
2019-03-24,-6.24,-17.72
2019-03-25,-7.15,-18.89
2019-03-26,-3.32,-14.79
2019-03-27,-0.8,-11.16
2019-03-28,2.46,-9.08
2019-03-29,-0.02,-11.58
2019-03-30,-4.47,-16.19
2019-03-31,-10.54,-22.62
2019-04-01,-0.8,-13.46
2019-04-02,-4.18,-17.64
2019-04-03,2.82,-9.2
2019-04-04,1.24,-9.46
2019-04-05,-2.01,-9.21
2019-04-06,-5.61,-12.97
2019-04-07,-5.6,-13.33
2019-04-08,1.17,-7.01
2019-04-09,-2.59,-9.42
2019-04-10,0.16,-8.58
2019-04-11,1.6,-6.71
2019-04-12,2.04,-6.45
2019-04-13,-0.92,-9.95
2019-04-14,-4.56,-14.12
2019-04-15,0.55,-9.54
2019-04-16,0.69,-9.82
2019-04-17,-0.84,-10.6
2019-04-18,0.68,-10.72
2019-04-19,-6.32,-17.7
2019-04-20,-5.63,-16.91
2019-04-21,-8.54,-19.84
2019-04-22,-54.13,-65.54
2019-04-23,-25.36,-36.86
2019-04-24,-5.1,-17.09
2019-04-25,-1.1,-12.54
2019-04-26,3.38,-8.28
2019-04-27,-8.25,-19.51
2019-04-28,-5.22,-16.41
2019-04-29,2.77,-8.61
2019-04-30,2.48,-8.83
2019-05-01,-14.76,-26.28
2019-05-02,-2.14,-13.88
2019-05-03,0.17,-11.06
2019-05-04,-0.81,-12.04
2019-05-05,-9.64,-21.08
2019-05-06,4.35,-7.5
2019-05-07,10.73,-1.34
2019-05-08,-0.58,-12.35
2019-05-09,4.97,-6.52
2019-05-10,5.4,-6.95
2019-05-11,-1.64,-14.01
2019-05-12,-19.68,-32.21
2019-05-13,0.27,-12.56
2019-05-14,2.01,-10.84
2019-05-15,1.75,-11.01
2019-05-16,1.55,-12.2
2019-05-17,5.76,-9.02
2019-05-18,-0.01,-14.5
2019-05-19,-1.85,-16.33
2019-05-20,9.06,-5.69
2019-05-21,6.42,-8.71
2019-05-22,3.38,-11.95
2019-05-23,4.05,-11.3
2019-05-24,4.53,-11.46
2019-05-25,0.62,-15.07
2019-05-26,-14.58,-30.16
2019-05-27,-0.95,-16.63
2019-05-28,6.91,-8.73
2019-05-29,5.81,-10.38
2019-05-30,-19.19,-36.06
2019-05-31,0.52,-16.26
2019-06-01,-4.78,-21.85
2019-06-02,-12.33,-29.96
2019-06-03,3.25,-15.02
2019-06-04,2.43,-12.91
2019-06-05,3.22,-14.06
2019-06-06,1.35,-15.39
2019-06-07,1.67,-14.14
2019-06-08,-78.36,-94.12
2019-06-09,-13.81,-29.39
2019-06-10,-5.14,-20.46
2019-06-11,9.26,-7.13
2019-06-12,8.84,-7.89
2019-06-13,3.03,-13.42
2019-06-14,6.17,-10.47
2019-06-15,-4.98,-21.37
2019-06-16,-4.52,-20.8
2019-06-17,5.89,-10.43
2019-06-18,7.56,-9.88
2019-06-19,7.5,-10.89
2019-06-20,3.05,-15.56
2019-06-21,6.45,-13.1
2019-06-22,-1.05,-20.38
2019-06-23,-12.2,-31.1
2019-06-24,0.91,-17.27
2019-06-25,9.23,-11.31
2019-06-26,6.06,-13.26
2019-06-27,5.13,-16.36
2019-06-28,13.1,-8.39
2019-06-29,2.21,-18.82
2019-06-30,-16.6,-36.95
2019-07-01,0.54,-19.09
2019-07-02,1.28,-18.71
2019-07-03,2.42,-17.43
2019-07-04,1.28,-18.1
2019-07-05,1.16,-16.96
2019-07-06,-4.83,-22.37
2019-07-07,-10.41,-27.48
2019-07-08,0.13,-16.58
2019-07-09,2.24,-14.91
2019-07-10,5.49,-10.74
2019-07-11,7.98,-6.3
2019-07-12,6.91,-6.94
2019-07-13,-0.89,-14.95
2019-07-14,-2.32,-16.59
2019-07-15,3.82,-10.68
2019-07-16,8.26,-9.46
2019-07-17,12.05,-6.44
2019-07-18,10.66,-8.29
2019-07-19,11.38,-7.55
2019-07-20,2.08,-17.18
2019-07-21,-1.05,-20.74
2019-07-22,10.47,-9.78
2019-07-23,13.21,-5.94
2019-07-24,18.67,-1.94
2019-07-25,18.14,-2.34
2019-07-26,12.74,-8.12
2019-07-27,4.49,-16.16
2019-07-28,0.51,-20.25
2019-07-29,14.03,-7.11
2019-07-30,13.09,-8.06
2019-07-31,17.02,-4.32
2019-08-01,8.05,-8.11
2019-08-02,7.86,-9.02
2019-08-03,0.83,-16.02
2019-08-04,-0.08,-17.25
2019-08-05,11.35,-6.25
2019-08-06,8.2,-10.49
2019-08-07,6.1,-11.69
2019-08-08,-1.38,-17.89
2019-08-09,2.8,-13.89
2019-08-10,-23.12,-40.01
2019-08-11,-20.88,-38.11
2019-08-12,6.34,-11.33
2019-08-13,2.28,-14.64
2019-08-14,4.37,-13.98
2019-08-15,-3.94,-22.33
2019-08-16,1.71,-17.19
2019-08-17,-7.64,-26.29
