Date,NetImport
2018-01-01 00:00:00,-14676.0
2018-01-01 01:00:00,-15591.0
2018-01-01 02:00:00,-15995.0
2018-01-01 03:00:00,-16235.0
2018-01-01 04:00:00,-15445.0
2018-01-01 05:00:00,-15159.0
2018-01-01 06:00:00,-15397.0
2018-01-01 07:00:00,-14155.0
2018-01-01 08:00:00,-13129.0
2018-01-01 09:00:00,-13519.0
2018-01-01 10:00:00,-15265.0
2018-01-01 11:00:00,-16081.0
2018-01-01 12:00:00,-16378.0
2018-01-01 13:00:00,-15382.0
2018-01-01 14:00:00,-10727.0
2018-01-01 15:00:00,-8111.0
2018-01-01 16:00:00,-7301.0
2018-01-01 17:00:00,-5660.0
2018-01-01 18:00:00,-6895.0
2018-01-01 19:00:00,-7571.0
2018-01-01 20:00:00,-8742.0
2018-01-01 21:00:00,-9844.0
2018-01-01 22:00:00,-8561.0
2018-01-01 23:00:00,-7895.0
2018-01-02 00:00:00,-7460.0
2018-01-02 01:00:00,-7071.0
2018-01-02 02:00:00,-6214.0
2018-01-02 03:00:00,-6291.0
2018-01-02 04:00:00,-7026.0
2018-01-02 05:00:00,-8088.0
2018-01-02 06:00:00,-7691.0
2018-01-02 07:00:00,-6933.0
2018-01-02 08:00:00,-5801.0
2018-01-02 09:00:00,-5845.0
2018-01-02 10:00:00,-5205.0
2018-01-02 11:00:00,-6086.0
2018-01-02 12:00:00,-6426.0
2018-01-02 13:00:00,-5376.0
2018-01-02 14:00:00,-4601.0
2018-01-02 15:00:00,-3819.0
2018-01-02 16:00:00,-3202.0
2018-01-02 17:00:00,-3181.0
2018-01-02 18:00:00,-3580.0
2018-01-02 19:00:00,-3288.0
2018-01-02 20:00:00,-6261.0
2018-01-02 21:00:00,-8073.0
2018-01-02 22:00:00,-9592.0
2018-01-02 23:00:00,-11041.0
2018-01-03 00:00:00,-10482.0
2018-01-03 01:00:00,-9923.0
2018-01-03 02:00:00,-11218.0
2018-01-03 03:00:00,-11840.0
2018-01-03 04:00:00,-11569.0
2018-01-03 05:00:00,-11578.0
2018-01-03 06:00:00,-10758.0
2018-01-03 07:00:00,-11118.0
2018-01-03 08:00:00,-10400.0
2018-01-03 09:00:00,-9791.0
2018-01-03 10:00:00,-10769.0
2018-01-03 11:00:00,-10511.0
2018-01-03 12:00:00,-10278.0
2018-01-03 13:00:00,-10385.0
2018-01-03 14:00:00,-10524.0
2018-01-03 15:00:00,-10423.0
2018-01-03 16:00:00,-10071.0
2018-01-03 17:00:00,-10495.0
2018-01-03 18:00:00,-10183.0
2018-01-03 19:00:00,-10684.0
2018-01-03 20:00:00,-10919.0
2018-01-03 21:00:00,-10865.0
2018-01-03 22:00:00,-11938.0
2018-01-03 23:00:00,-13886.0
2018-01-04 00:00:00,-13953.0
2018-01-04 01:00:00,-14748.0
2018-01-04 02:00:00,-15155.0
2018-01-04 03:00:00,-13513.0
2018-01-04 04:00:00,-12246.0
2018-01-04 05:00:00,-10965.0
2018-01-04 06:00:00,-8779.0
2018-01-04 07:00:00,-8094.0
2018-01-04 08:00:00,-6801.0
2018-01-04 09:00:00,-5873.0
2018-01-04 10:00:00,-4907.0
2018-01-04 11:00:00,-4025.0
2018-01-04 12:00:00,-3199.0
2018-01-04 13:00:00,-2352.0
2018-01-04 14:00:00,-1258.0
2018-01-04 15:00:00,-302.0
2018-01-04 16:00:00,-874.0
2018-01-04 17:00:00,-844.0
2018-01-04 18:00:00,-2514.0
2018-01-04 19:00:00,-4261.0
2018-01-04 20:00:00,-5892.0
2018-01-04 21:00:00,-8054.0
2018-01-04 22:00:00,-9721.0
2018-01-04 23:00:00,-12521.0
2018-01-05 00:00:00,-14405.0
2018-01-05 01:00:00,-15198.0
2018-01-05 02:00:00,-16374.0
2018-01-05 03:00:00,-15240.0
2018-01-05 04:00:00,-12801.0
2018-01-05 05:00:00,-11611.0
2018-01-05 06:00:00,-12140.0
2018-01-05 07:00:00,-9856.0
2018-01-05 08:00:00,-10482.0
2018-01-05 09:00:00,-9998.0
2018-01-05 10:00:00,-9082.0
2018-01-05 11:00:00,-8971.0
2018-01-05 12:00:00,-8869.0
2018-01-05 13:00:00,-7022.0
2018-01-05 14:00:00,-4545.0
2018-01-05 15:00:00,-2100.0
2018-01-05 16:00:00,-1706.5
2018-01-05 17:00:00,-1313.0
2018-01-05 18:00:00,-1635.0
2018-01-05 19:00:00,-3048.0
2018-01-05 20:00:00,-4286.0
2018-01-05 21:00:00,-4329.0
2018-01-05 22:00:00,-4165.0
2018-01-05 23:00:00,-5546.0
2018-01-06 00:00:00,-6279.0
2018-01-06 01:00:00,-6573.0
2018-01-06 02:00:00,-7160.0
2018-01-06 03:00:00,-7100.0
2018-01-06 04:00:00,-5581.0
2018-01-06 05:00:00,-6123.0
2018-01-06 06:00:00,-6373.0
2018-01-06 07:00:00,-6301.0
2018-01-06 08:00:00,-5405.0
2018-01-06 09:00:00,-4212.0
2018-01-06 10:00:00,-4401.0
2018-01-06 11:00:00,-4421.0
2018-01-06 12:00:00,-4425.0
2018-01-06 13:00:00,-2724.0
2018-01-06 14:00:00,-1499.0
2018-01-06 15:00:00,-406.0
2018-01-06 16:00:00,880.0
2018-01-06 17:00:00,410.0
2018-01-06 18:00:00,-11.0
2018-01-06 19:00:00,-2576.0
2018-01-06 20:00:00,-2729.0
2018-01-06 21:00:00,-2568.0
2018-01-06 22:00:00,-4974.0
2018-01-06 23:00:00,-6796.0
2018-01-07 00:00:00,-8640.0
2018-01-07 01:00:00,-9441.0
2018-01-07 02:00:00,-9021.0
2018-01-07 03:00:00,-6085.0
2018-01-07 04:00:00,-4584.0
2018-01-07 05:00:00,-5984.0
2018-01-07 06:00:00,-6319.0
2018-01-07 07:00:00,-6448.0
2018-01-07 08:00:00,-7022.0
2018-01-07 09:00:00,-8214.0
2018-01-07 10:00:00,-7958.0
2018-01-07 11:00:00,-6524.0
2018-01-07 12:00:00,-6410.0
2018-01-07 13:00:00,-7400.0
2018-01-07 14:00:00,-7240.0
2018-01-07 15:00:00,-6727.0
