datetime,TEMPERATURE,WIND
2018-01-01 00:00:00,8.19,8.76
2018-01-01 01:00:00,7.85,8.77
2018-01-01 02:00:00,7.54,8.07
2018-01-01 03:00:00,7.29,8.93
2018-01-01 04:00:00,6.93,9.38
2018-01-01 05:00:00,6.59,9.64
2018-01-01 06:00:00,6.24,9.9
2018-01-01 07:00:00,5.96,10.15
2018-01-01 08:00:00,5.97,10.09
2018-01-01 09:00:00,5.7,10.52
2018-01-01 10:00:00,5.56,10.4
2018-01-01 11:00:00,5.84,10.14
2018-01-01 12:00:00,5.96,9.89
2018-01-01 13:00:00,5.99,9.45
2018-01-01 14:00:00,6.41,8.38
2018-01-01 15:00:00,6.24,8.11
2018-01-01 16:00:00,5.46,7.31
2018-01-01 17:00:00,4.92,6.77
2018-01-01 18:00:00,4.48,6.42
2018-01-01 19:00:00,4.15,6.14
2018-01-01 20:00:00,4.19,5.57
2018-01-01 21:00:00,4.12,5.71
2018-01-01 22:00:00,4.07,5.54
2018-01-01 23:00:00,3.79,5.39
2018-01-02 00:00:00,3.55,5.39
2018-01-02 01:00:00,3.43,5.39
2018-01-02 02:00:00,4.08,5.12
2018-01-02 03:00:00,4.08,5.26
2018-01-02 04:00:00,4.01,5.34
2018-01-02 05:00:00,3.92,5.42
2018-01-02 06:00:00,3.86,5.67
2018-01-02 07:00:00,3.83,5.91
2018-01-02 08:00:00,3.76,5.43
2018-01-02 09:00:00,3.92,5.64
2018-01-02 10:00:00,4.11,5.83
2018-01-02 11:00:00,4.32,6.1
2018-01-02 12:00:00,4.49,6.37
2018-01-02 13:00:00,4.57,6.51
2018-01-02 14:00:00,4.81,5.99
2018-01-02 15:00:00,4.7,5.83
2018-01-02 16:00:00,4.09,5.63
2018-01-02 17:00:00,3.75,5.73
2018-01-02 18:00:00,3.48,5.86
2018-01-02 19:00:00,3.44,6.01
2018-01-02 20:00:00,3.84,6.27
2018-01-02 21:00:00,3.74,6.83
2018-01-02 22:00:00,3.71,7.35
2018-01-02 23:00:00,3.75,7.85
2018-01-03 00:00:00,3.89,8.31
2018-01-03 01:00:00,4.18,8.67
2018-01-03 02:00:00,4.65,8.89
2018-01-03 03:00:00,5.1,9.37
2018-01-03 04:00:00,5.74,10.13
2018-01-03 05:00:00,6.71,10.67
